Salle,Date,Nom,Description,Valeur
Secreteriat,"11-01-2023 17:09:33",temp,,22.8
Secreteriat,"11-01-2023 16:54:29",co2,,578
Secreteriat,"11-01-2023 16:54:29",hum,,60.4
Secreteriat,"11-01-2023 16:54:29",temp,,22.8
Secreteriat,"11-01-2023 16:39:24",co2,,600
Secreteriat,"11-01-2023 16:39:24",hum,,61
Secreteriat,"11-01-2023 16:39:24",temp,,22.7
Secreteriat,"11-01-2023 16:24:20",co2,,651
Secreteriat,"11-01-2023 16:24:20",hum,,62.1
Secreteriat,"11-01-2023 16:24:20",temp,,22.5
Secreteriat,"11-01-2023 16:09:16",co2,,697
Secreteriat,"11-01-2023 16:09:16",hum,,64.4
Secreteriat,"11-01-2023 16:09:16",temp,,22.5
Secreteriat,"11-01-2023 15:54:12",co2,,691
Secreteriat,"11-01-2023 15:54:12",hum,,64
Secreteriat,"11-01-2023 15:54:12",temp,,22.4
Secreteriat,"11-01-2023 15:39:05",co2,,682
Secreteriat,"11-01-2023 15:39:05",hum,,64.8
Secreteriat,"11-01-2023 15:39:05",temp,,22.4
Secreteriat,"11-01-2023 15:24:01",co2,,678
Secreteriat,"11-01-2023 15:24:01",hum,,64.4
Secreteriat,"11-01-2023 15:24:01",temp,,22.3
Secreteriat,"11-01-2023 15:08:56",co2,,693
Secreteriat,"11-01-2023 15:08:56",hum,,64.1
Secreteriat,"11-01-2023 15:08:56",temp,,22.3
Secreteriat,"11-01-2023 14:53:52",co2,,654
Secreteriat,"11-01-2023 14:53:52",hum,,64.1
Secreteriat,"11-01-2023 14:53:52",temp,,22.1
Secreteriat,"11-01-2023 14:38:48",co2,,587
Secreteriat,"11-01-2023 14:38:48",hum,,63.4
Secreteriat,"11-01-2023 14:38:48",temp,,21.8
Secreteriat,"11-01-2023 14:23:43",co2,,560
Secreteriat,"11-01-2023 14:23:43",hum,,62.9
Secreteriat,"11-01-2023 14:23:43",temp,,21.4
Secreteriat,"11-01-2023 14:08:39",co2,,421
Secreteriat,"11-01-2023 14:08:39",hum,,61.3
Secreteriat,"11-01-2023 14:08:39",temp,,20.9
Secreteriat,"11-01-2023 11:54:36",co2,,400
Secreteriat,"11-01-2023 11:54:36",hum,,59.1
Secreteriat,"11-01-2023 11:54:36",temp,,22.5
Secreteriat,"11-01-2023 10:28:32",co2,,400
Secreteriat,"11-01-2023 10:28:32",hum,,60.3
Secreteriat,"11-01-2023 10:28:32",temp,,21.3
Secreteriat,"11-01-2023 10:23:29",co2,,400
Secreteriat,"11-01-2023 10:23:29",hum,,60.3
Secreteriat,"11-01-2023 10:23:29",temp,,21.5
Secreteriat,"11-01-2023 10:18:27",co2,,532
Secreteriat,"11-01-2023 10:18:27",hum,,65.5
Secreteriat,"11-01-2023 10:18:27",temp,,22.3
Secreteriat,"11-01-2023 10:13:25",co2,,597
Secreteriat,"11-01-2023 10:13:25",hum,,66.7
Secreteriat,"11-01-2023 10:13:25",temp,,22.3
Secreteriat,"11-01-2023 10:08:22",co2,,608
Secreteriat,"11-01-2023 10:08:22",hum,,67.5
Secreteriat,"11-01-2023 10:08:22",temp,,22.3
Secreteriat,"11-01-2023 10:03:20",co2,,685
Secreteriat,"11-01-2023 10:03:20",hum,,68.6
Secreteriat,"11-01-2023 10:03:20",temp,,22.3
Secreteriat,"11-01-2023 09:58:18",co2,,683
Secreteriat,"11-01-2023 09:58:18",hum,,68.3
Secreteriat,"11-01-2023 09:58:18",temp,,22.2
Secreteriat,"11-01-2023 09:53:15",co2,,656
Secreteriat,"11-01-2023 09:53:15",hum,,68.3
Secreteriat,"11-01-2023 09:53:15",temp,,22.1
Secreteriat,"11-01-2023 09:48:13",co2,,655
Secreteriat,"11-01-2023 09:48:13",hum,,68.4
Secreteriat,"11-01-2023 09:48:13",temp,,22
