Salle,Date,Nom,Description,Valeur
D205,"17-01-2023 01:16:51",temp,,18.4
D205,"17-01-2023 01:16:51",hum,,51.9
D205,"17-01-2023 01:16:51",co2,,400
D205,"17-01-2023 01:01:51",temp,,18.4
D205,"17-01-2023 01:01:51",hum,,51.9
D205,"17-01-2023 01:01:51",co2,,400
D205,"17-01-2023 00:46:51",temp,,18.4
D205,"17-01-2023 00:46:50",hum,,51.9
D205,"17-01-2023 00:46:50",co2,,400
D205,"17-01-2023 00:31:50",temp,,19.2
D205,"17-01-2023 00:31:50",hum,,50.6
D205,"17-01-2023 00:31:50",co2,,400
D205,"17-01-2023 00:16:49",temp,,19.2
D205,"17-01-2023 00:16:49",hum,,50.6
D205,"17-01-2023 00:16:49",co2,,400
D205,"17-01-2023 00:01:49",temp,,19.2
D205,"17-01-2023 00:01:49",hum,,50.6
D205,"17-01-2023 00:01:48",co2,,400
D205,"16-01-2023 23:46:48",temp,,19.2
D205,"16-01-2023 23:46:48",hum,,50.6
D205,"16-01-2023 23:46:48",co2,,400
D205,"16-01-2023 23:31:48",temp,,19.2
D205,"16-01-2023 23:31:47",hum,,50.6
D205,"16-01-2023 23:31:47",co2,,400
D205,"16-01-2023 23:16:47",temp,,19.2
D205,"16-01-2023 23:16:47",hum,,50.6
D205,"16-01-2023 23:16:47",co2,,400
D205,"16-01-2023 23:01:46",temp,,19.2
D205,"16-01-2023 23:01:46",hum,,50.6
D205,"16-01-2023 23:01:46",co2,,400
D205,"16-01-2023 22:46:46",temp,,19.2
D205,"16-01-2023 22:46:46",hum,,50.6
D205,"16-01-2023 22:46:46",co2,,400
D205,"16-01-2023 22:31:45",temp,,19.2
D205,"16-01-2023 22:31:45",hum,,50.6
D205,"16-01-2023 22:31:45",co2,,400
D205,"16-01-2023 22:16:45",temp,,19.2
D205,"16-01-2023 22:16:45",hum,,50.6
D205,"16-01-2023 22:16:45",co2,,400
D205,"16-01-2023 22:01:44",temp,,19.2
D205,"16-01-2023 22:01:44",hum,,50.6
D205,"16-01-2023 22:01:44",co2,,400
D205,"16-01-2023 21:46:44",temp,,19.2
D205,"16-01-2023 21:46:44",hum,,50.6
D205,"16-01-2023 21:46:44",co2,,400
D205,"16-01-2023 21:31:43",temp,,19.2
D205,"16-01-2023 21:31:43",hum,,50.6
D205,"16-01-2023 21:31:43",co2,,400
